NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
Austin Reaves,Lal,G,24.9,64,28.8,16.2,16.8,265,0.864,274,0.631,216,0.398,0.616,0.687,13.0,3.0,3.4,0.5,0.3,1.5,16.0,16.4,19.4,7.1,129.5,112.4
Tre Jones,San,G,23.3,68,29.2,19.3,12.9,172,0.86,585,0.506,158,0.285,0.489,0.534,12.9,3.6,6.6,1.3,0.1,1.6,16.5,19.5,23.1,9.2,116.7,118.7
Alec Burks,Det,G,31.7,51,22.0,22.8,11.2,188,0.814,220,0.459,239,0.414,0.544,0.602,12.8,3.1,2.2,0.7,0.2,1.1,15.9,15.0,18.1,8.1,119.8,112.9
Jabari Smith Jr.,Hou,F,19.9,79,31.0,18.4,10.4,206,0.786,501,0.487,391,0.307,0.475,0.514,12.8,7.2,1.3,0.5,0.9,1.3,20.0,14.1,21.3,6.4,107.4,112.1
Kenyon Martin Jr.,Hou,F,22.3,82,28.0,16.4,11.2,222,0.68,504,0.679,216,0.315,0.617,0.635,12.7,5.5,1.5,0.5,0.4,1.1,18.2,14.2,19.7,6.7,125.5,116.5
Nic Claxton,Bro,F-C,24.0,76,29.9,15.5,14.1,246,0.541,585,0.708,2,0.0,0.705,0.691,12.6,9.2,1.9,0.9,2.5,1.3,21.9,14.5,23.8,8.1,133.4,105.2
Dennis Schroder,Lal,G,29.6,66,30.1,18.6,14.7,252,0.857,426,0.46,225,0.329,0.472,0.545,12.6,2.5,4.5,0.8,0.2,1.7,15.1,17.1,19.6,6.9,111.5,110.9
Kelly Olynyk,Uta,F-C,32.0,68,28.6,17.8,23.2,232,0.853,321,0.576,235,0.396,0.584,0.644,12.5,6.2,3.7,0.9,0.5,2.5,18.6,16.2,22.3,9.2,117.6,106.1
Derrick White,Bos,G,28.8,82,28.3,17.7,11.1,192,0.875,367,0.548,391,0.381,0.56,0.604,12.4,3.6,3.9,0.7,0.9,1.2,16.0,16.3,19.9,7.9,124.5,107.8
Keegan Murray,Sac,F,22.6,80,29.8,15.8,7.1,81,0.765,281,0.527,501,0.411,0.584,0.597,12.2,4.6,1.2,0.8,0.5,0.8,16.8,13.4,18.1,5.5,118.8,112.8
Mason Plumlee,Cha,F-C,33.1,56,28.5,15.7,17.8,256,0.605,396,0.669,0,0.0,0.669,0.673,12.2,9.6,3.7,0.6,0.6,1.5,21.9,15.9,25.5,10.6,134.1,106.5
Thomas Bryant,Lal,C-F,25.7,41,21.3,18.2,8.5,108,0.741,251,0.697,50,0.44,0.691,0.712,12.1,6.8,0.7,0.3,0.6,0.7,18.9,12.8,19.6,7.3,138.3,105.3
Bones Hyland,Den,G,22.6,42,19.5,28.5,13.4,82,0.866,193,0.425,241,0.378,0.503,0.54,12.1,2.0,3.0,0.7,0.3,1.6,14.1,15.1,17.1,8.6,106.1,110.1
Caris LeVert,Cle,G,28.6,74,30.3,18.7,13.5,180,0.722,418,0.462,324,0.392,0.517,0.546,12.1,3.8,3.9,1.0,0.3,1.6,15.9,16.0,19.8,7.4,111.6,106.7
